"Date","Operator","Aircraft","Location","Fatalities","Registration"
2004-01-13,"","Yakovlev Yak-40","Tashkent-Yuzhny, Tashkent Province (Toshkent viloyati)",37,"UK-87985"
1996-11-12,"","Ilyushin II-76","Charkhi Dadri, Haryana",37,"UN-76435"
1997-02-02,"","Casa 212 Aviocar","Quibaxe, Cuanza Norte",37,"T-400"
1997-04-23,"","Antonov AN-26","Kunduz, Kunduz",36,"-"
1998-08-24,"","Fokker F27 Friendship","Tachilek, Shan State",36,"XY-AEN"
1995-07-18,"Malagasy Air Force - Armée de l'Air Malgache","Douglas C-47 Skytrain (DC-3)","Antananarivo-Ivato, Antananarivo Province",36,"5R-MMG"
1999-12-10,"","BAe ATP","São Jorge Island, Azores Islands",35,"CS-TGM"
1996-04-03,"","Boeing 737-200","Dubrovnik, Neretva",35,"73-1149"
1997-05-08,"","Boeing 737-300","Shenzhen-Bao'an (ex Huangtian), Guangdong, Guangdong",35,"B-2925"
2001-05-16,"","Casa-Nurtanio CN-235 (IPTN)","Akçadağ, Eastern Anatolia Region (Doğu Anadolu Bölgesi)",34,"086"
1996-10-22,"","Boeing 707","Manta-Eloy Alfaro, Manabí",34,"N751MA"
1995-09-15,"","Fokker 50","Tawau, Sabah",34,"9M-MGH"
1996-07-15,"","Lockheed C-130 Hercules","Eindhoven, North Brabant",34,"CH-06"
2007-01-09,"","Antonov AN-26","Balad, Salāh ad-Dīn (صلاح الدين)",34,"ER-26068"
2007-01-09,"","Antonov AN-26","Balad, Salāh ad-Dīn (صلاح الدين)",34,"ER-26068"
2013-11-29,"","Embraer ERJ-190","Divundu, Kavango Region",33,"C9-EMC"
2003-11-29,"","Antonov AN-26","Boende, Tshuapa",33,"9T-TAD"
2012-04-02,"","ATR72-200","Tyumen-Roshchino, Tyumen oblast",33,"VP-BYZ"
2004-05-14,"","Embraer EMB-120 Brasília","Manaus, Amazonas",33,"PT-WRO"
2012-11-30,"","Ilyushin II-76","Brazzaville, Brazzaville City District",32,"EK-76300"
2011-04-04,"","Canadair RegionalJet CRJ-100","Kinshasa-N'Djili, Kinshasa City Province",32,"4L-GAE"
2012-08-19,"","Antonov AN-26","Talodi, South Kordofan (جنوب كردفان)",32,"ST-ARL"
1996-09-25,"","Douglas C-47 Skytrain (DC-3)","Den Oever, North Holland",32,"PH-DDA"
2015-01-18,"","Antonov AN-26","Abu Adh Dhuhur, Idlib Governorate (مُحافظة ادلب‎)",30,"YK-AND"
2004-08-21,"","Short 360","El Libertador AFB (Maracay), Aragua",30,"FAV-1652"
2001-05-17,"","Yakovlev Yak-40","Sari, Mazandaran",30,"EP-TQP"
2008-06-10,"","Airbus A310","Khartoum, Khartoum (الخرطوم)",30,"ST-ATN"
1997-01-09,"","Embraer EMB-120 Brasília","Monroe, Michigan",29,"N265CA"
2016-07-22,"","Antonov AN-32","Gulf of Bengal, World",29,"K2743"
2006-09-01,"","Tupolev TU-154","Mashhad, Razavi Khorasan",28,"EP-MCF"
1997-07-17,"","Fokker F27 Friendship","Bandung-Sulaiman AFB, West Java",28,"PK-YPM"
